Crop,Year,Production,Area,Yield,Crop_encoded,Year_encoded
Total Foodgrains,2006-07,158.8,128.5,123.6,47,0
Rice,2006-07,200.8,168.5,119.2,33,0
Wheat,2006-07,131.6,115.0,114.4,54,0
Jowar,2006-07,124.3,120.7,103.0,20,0
Bajra,2006-07,136.4,94.5,144.3,2,0
Maize,2006-07,198.8,156.1,127.3,24,0
Ragi,2006-07,56.1,60.2,93.2,31,0
Small millets,2006-07,53.9,50.9,106.0,38,0
Barley,2006-07,88.1,72.8,121.0,4,0
Coarse Cereals,2006-07,138.5,106.4,130.1,9,0
Cereals,2006-07,164.1,130.0,126.3,8,0
Gram,2006-07,140.6,122.3,115.0,18,0
Arhar,2006-07,97.0,99.7,97.3,1,0
Other Pulses,2006-07,139.1,131.3,105.9,29,0
Total Pulses,2006-07,130.3,122.1,106.7,51,0
Total Non-Food grains ,2006-07,155.4,126.6,122.8,49,0
Total Oilseeds,2006-07,148.2,124.8,118.7,50,0
Groundnut,2006-07,115.2,124.1,92.8,19,0
Sesamum,2006-07,95.5,74.2,128.7,37,0
Rapeseed &Mustard,2006-07,138.7,107.0,129.6,32,0
Linseed,2006-07,55.9,47.9,116.8,23,0
Castor seed,2006-07,124.7,91.7,136.0,7,0
Safflower,2006-07,67.3,55.8,120.6,35,0
Niger seed,2006-07,65.1,75.7,86.0,26,0
Sunflower,2006-07,161.3,175.0,92.2,41,0
Soyabean,2006-07,253.2,222.7,113.7,39,0
Nine Oilseeds,2006-07,147.1,126.1,116.7,27,0
Coconut,2006-07,142.7,123.5,115.5,10,0
Cotton seed,2006-07,186.1,121.7,152.9,13,0
Total Fibers,2006-07,186.1,118.3,157.3,46,0
Cotton(lint),2006-07,213.1,121.7,175.2,14,0
Jute,2006-07,220.3,103.6,212.7,21,0
Mesta,2006-07,81.7,67.2,121.6,25,0
Jute & Mesta,2006-07,200.7,95.7,209.7,22,0
Sannhamp ,2006-07,97.9,54.2,180.7,36,0
Tea ,2006-07,132.2,135.3,97.7,44,0
Coffee ,2006-07,138.0,117.9,117.0,11,0
Rubber ,2006-07,215.5,98.6,218.5,34,0
Total Spices,2006-07,1427.7,121.3,1176.6,52,0
Black pepper,2006-07,134.2,130.8,102.6,5,0
